name,lat,lon,vars,star,end,accum_TCP_50Y,accum_TCP_1TC,TCP_p70,TCP_p80,TCP_p90,TCP_p95,TCP_p100,TCP_p99,num_record
USC00010160,32.9453,-85.9481,PRCP,1969,2020,3902.839028016505,4.564724009376029,38.62474234849557,48.09274265926495,58.25,71.38,127.5,114.45800000000018,114
USC00010583,30.8839,-87.7853,PRCP,1913,2020,7439.291446954247,8.700925668952335,37.222875150920814,52.3,93.1,137.575,395.7,267.4,176
USC00012245,32.5192,-87.88,PRCP,1951,2020,3598.6365459888716,4.208931632735522,37.86257283326557,47.54000000000001,74.78000000000006,91.875,129.5,119.26299999999993,102
USC00012730,32.0111,-85.09,PRCP,1967,2020,3877.585491332681,4.535187709161031,36.57268114642758,43.823917288996014,62.5,84.19999999999999,137.4,106.49000000000001,111
USC00012813,30.5467,-87.8808,PRCP,1917,2020,8333.154250156627,9.746379239949272,41.99635065181126,60.300000000000054,105.25999999999999,143.55999999999977,368.8,246.3199999999997,185
USC00013160,32.8347,-88.1342,PRCP,1948,2020,3845.9857444601816,4.498228940889101,38.6,49.5,83.8,111.5,169.7,145.5,101
USC00013511,32.6922,-87.5761,PRCP,1890,2020,2991.7506212959624,3.499123533679488,34.03759482251507,41.22,53.240000000000045,89.72999999999999,101.3,101.112,95
USC00013519,31.79,-86.6086,PRCP,1900,2020,4198.548286202818,4.91058279088049,34.33974661639046,39.175654038352334,71.14,93.49999999999991,390.1,219.14800000000008,109
USC00013761,31.3625,-85.3397,PRCP,1950,2020,4811.833318222571,5.6278752259913105,36.779999999999994,41.82,52.1,92.45500000000007,230.6,151.045,138
USC00015121,32.4714,-87.2314,PRCP,1950,2020,3892.1855177180487,4.552263763412922,33.5,41.98432246975493,65.02488139240772,85.1,111.0,110.5,121
USC00016988,30.5653,-87.7017,PRCP,1912,2020,7441.686828842632,8.703727285196061,44.239999999999995,74.60000000000001,124.61999999999999,157.04499999999996,381.0,219.5659999999997,150
USC00017366,32.4111,-87.0144,PRCP,1895,2020,3853.801481323995,4.507370153595316,36.39976157335167,50.32000000000001,72.27000000000002,96.54999999999998,156.2,153.29899999999995,104
USC00018209,32.9206,-86.6708,PRCP,1957,2020,3422.653705441118,4.003103749053939,36.26666945614537,51.324020200099866,67.65,88.38,114.3,113.835,94
USC00018323,31.8075,-85.9722,PRCP,1908,2020,4399.54670557776,5.145668661494456,38.60689044626742,48.44047232919317,75.45,102.33999999999997,238.8,159.82200000000017,114
USC00018637,31.21,-87.1789,PRCP,1941,2020,5155.326447201301,6.029621575674036,37.59767468998383,52.240000000000016,101.56,162.94999999999993,228.6,199.31199999999984,119
USC00018673,32.7747,-87.8306,PRCP,1958,2020,3526.2738533278466,4.1242969044770135,35.8699213441727,45.18000000000001,72.80694880859235,96.19999999999999,156.0,129.35,104
USC00060299,41.9211,-72.9636,PRCP,1932,2020,3258.5734750430993,3.8111970468340344,44.6718154563211,55.41747480424725,68.35,83.27499999999999,153.7,133.675,76
